水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.2,8.16,12.15,496.5,22.5,3.08,0.062,0.024,3.97
Ⅱ类,27.3,8.05,7.6,437.4,13.7,3.4,0.059,0.033,3.27
Ⅲ类,28.0,7.59,9.99,755.6,9.6,4.32,0.077,0.08,4.4
劣Ⅵ类,28.8,7.4,5.18,688.1,6.6,7.45,2.862,0.31,7.22
Ⅱ类,26.2,8.16,13.12,795.7,14.2,3.1,0.064,0.07,5.75
Ⅱ类,24.7,8.2,13.1,772.9,21.8,2.2,0.044,0.089,7.28
Ⅱ类,23.2,7.96,10.41,469.3,9.5,3.34,0.049,0.012,3.58
Ⅱ类,30.7,7.8,7.58,807.7,12.3,2.93,0.04,0.069,3.27
Ⅲ类,30.8,8.16,14.35,1094.3,6.3,3.5,0.001,0.137,5.27
Ⅲ类,31.6,8.05,11.49,1231.6,16.8,4.09,0.044,0.132,5.88
Ⅲ类,25.2,7.17,5.18,522.0,22.8,3.62,0.152,0.118,7.61
Ⅱ类,28.9,8.15,9.97,390.2,5.1,2.57,0.073,0.007,3.48
Ⅱ类,27.5,8.35,10.9,417.1,52.0,3.9,0.3,0.052,4.89
Ⅱ类,30.0,8.43,20.96,529.2,6.3,3.15,0.19,0.041,2.92
Ⅴ类,30.3,7.69,2.44,976.4,16.5,3.47,0.492,0.11,0.96
Ⅲ类,30.3,7.76,5.61,1196.6,25.1,4.54,0.786,0.197,2.62
Ⅳ类,30.4,7.63,3.25,886.4,34.3,3.63,1.083,0.157,2.63
劣Ⅵ类,30.4,7.39,1.18,1022.0,16.5,3.98,0.424,0.089,2.15
Ⅱ类,31.7,7.76,7.13,269.3,1.7,1.45,0.043,0.005,0.87
劣Ⅵ类,27.3,7.4,0.01,869.6,35.7,3.74,1.436,0.14,2.3
Ⅳ类,26.8,7.58,3.76,668.8,80.6,3.69,0.161,0.161,4.05
Ⅲ类,29.7,8.16,8.43,2040.7,17.1,4.92,0.165,0.168,2.45
Ⅳ类,19.0,8.21,4.68,2028.8,39.8,4.02,0.045,0.074,0.92
Ⅳ类,29.0,7.87,5.16,3591.8,1353.7,7.38,0.09,0.182,2.35
Ⅳ类,28.1,7.97,4.65,1530.4,32.6,4.74,0.064,0.127,1.21
Ⅴ类,30.3,7.05,2.94,807.4,94.8,5.19,0.429,0.186,2.34
Ⅳ类,24.5,8.66,8.26,6573.7,109.3,7.89,0.114,0.26,1.5
Ⅲ类,26.8,8.23,9.73,370.0,13.5,5.84,0.123,0.055,3.57
Ⅲ类,24.5,7.76,8.45,737.8,19.3,2.76,0.169,0.153,10.99
Ⅱ类,24.6,7.64,6.8,524.5,43.6,1.87,0.088,0.087,8.35
Ⅱ类,22.6,7.9,6.62,1120.6,45.6,1.35,0.36,0.041,4.92
Ⅰ类,31.1,8.74,9.2,284.4,1.6,1.83,0.036,0.009,0.86
Ⅲ类,30.1,7.75,7.18,589.1,76.1,4.55,0.041,0.108,3.36
Ⅳ类,29.8,7.57,8.02,790.5,16.8,5.56,0.195,0.29,4.95
Ⅱ类,19.9,7.88,8.83,505.6,86.2,3.83,0.045,0.081,5.49
Ⅱ类,32.3,6.96,7.42,45369.3,3.8,2.04,0.073,0.037,1.21
Ⅲ类,31.9,8.42,12.38,931.2,23.7,4.71,0.494,0.087,3.3
Ⅳ类,30.0,7.55,3.08,1279.1,80.5,6.05,0.046,0.213,9.91
Ⅴ类,29.4,7.53,2.9,758.9,132.8,6.51,1.596,0.366,7.17
Ⅳ类,25.3,8.02,8.3,977.4,2741.1,5.3,0.668,0.204,4.39
Ⅳ类,29.8,8.12,7.6,13490.5,149.7,6.12,1.025,0.139,2.87
Ⅳ类,30.6,8.86,9.15,3912.6,30.3,7.8,0.016,0.237,1.33
Ⅳ类,29.6,8.03,13.09,887.4,3.3,8.03,0.004,0.098,0.98
Ⅱ类,27.0,7.74,7.28,522.1,22.4,3.59,0.034,0.073,4.6
Ⅱ类,30.7,7.87,6.47,852.2,20.5,3.69,0.043,0.044,0.49
Ⅳ类,33.2,8.4,22.87,690.9,14.4,4.59,0.557,0.229,3.24
Ⅲ类,31.2,8.56,9.8,834.8,4.1,4.52,0.01,0.074,0.55
Ⅲ类,30.8,8.47,9.76,1593.8,31.7,5.13,0.042,0.028,0.66
Ⅱ类,32.2,8.01,6.26,337.0,4.4,2.22,0.063,0.012,0.75
Ⅳ类,29.5,7.52,4.44,681.9,6.1,4.62,0.014,0.028,0.7
Ⅲ类,24.4,8.35,7.2,1157.3,9.0,4.14,0.227,0.081,1.0
Ⅳ类,26.5,8.79,11.78,760.0,100.5,6.87,0.007,0.141,1.72
Ⅳ类,27.8,7.96,6.6,2020.6,6.7,4.13,0.925,0.221,10.52
Ⅱ类,26.9,8.28,8.64,652.4,41.8,2.4,0.006,0.049,3.41
Ⅱ类,28.2,7.83,6.26,484.1,24.5,3.29,0.006,0.053,1.81
Ⅴ类,23.7,7.64,2.97,661.9,7.7,3.18,0.221,0.029,1.06
Ⅲ类,28.0,7.8,7.3,677.0,54.8,4.55,0.011,0.095,3.99
Ⅱ类,21.4,8.29,8.7,686.1,45.8,2.19,0.031,0.032,4.89
Ⅲ类,25.1,8.3,9.55,707.6,21.5,4.14,0.014,0.102,2.31
Ⅲ类,23.8,8.4,7.35,556.2,26.5,4.66,0.004,0.045,1.48
Ⅴ类,29.1,8.55,17.05,1142.5,90.6,11.76,0.006,0.173,6.14
Ⅲ类,25.4,7.48,12.99,1362.9,20.8,3.96,0.066,0.17,7.68
Ⅳ类,30.4,8.2,5.82,3672.0,339.1,6.49,0.186,0.279,11.25
Ⅳ类,28.2,7.25,3.87,1242.0,52.5,5.1,0.297,0.297,4.88
Ⅲ类,23.2,8.36,7.28,750.0,487.7,4.83,0.014,0.192,4.53
Ⅳ类,29.2,8.5,5.99,797.2,552.3,5.35,0.002,0.233,5.88
Ⅲ类,20.7,8.29,7.95,441.2,408.5,4.63,0.006,0.144,8.36
劣Ⅵ类,21.4,8.3,7.26,526.9,1853.3,9.24,0.019,0.449,9.81
Ⅳ类,29.0,7.72,3.62,983.4,261.5,4.15,0.295,0.071,6.86
Ⅳ类,26.8,8.35,7.36,764.5,557.9,5.54,1.026,0.157,7.34
Ⅲ类,21.0,8.0,6.15,568.6,144.6,2.99,0.025,0.142,3.99
Ⅴ类,24.8,8.29,7.19,605.4,1331.1,4.73,0.017,0.372,3.53
Ⅲ类,27.1,8.27,7.01,688.5,61.4,3.51,0.281,0.156,5.66
Ⅱ类,23.4,8.67,7.96,668.0,42.1,3.91,0.004,0.056,5.77
Ⅱ类,20.4,8.0,7.65,491.2,25.7,2.28,0.084,0.002,2.7
Ⅲ类,27.9,7.79,5.0,712.2,50.7,4.38,0.32,0.146,3.5
Ⅴ类,26.0,8.84,14.69,1062.9,56.5,13.2,0.242,0.315,8.74
Ⅱ类,24.6,8.2,7.16,848.8,93.1,1.34,0.058,0.028,1.34
Ⅳ类,26.2,8.58,7.2,2689.8,43.1,6.09,0.094,0.057,1.25
Ⅱ类,27.9,8.31,7.88,878.5,538.8,2.67,0.221,0.06,0.18
Ⅳ类,26.1,7.22,5.04,816.7,13.6,4.72,1.341,0.184,8.26
Ⅱ类,27.8,7.58,7.32,276.2,8.3,2.15,0.007,0.07,5.75
Ⅲ类,29.4,8.34,12.12,348.4,31.8,4.58,0.024,0.179,1.81
Ⅲ类,28.9,8.38,11.5,537.1,18.2,4.33,0.003,0.096,4.92
Ⅲ类,27.6,7.68,6.08,634.9,3.7,4.23,0.028,0.089,4.78
Ⅰ类,29.5,8.71,11.51,146.3,4.9,1.66,0.0001,0.016,1.6
劣Ⅵ类,27.0,9.14,14.33,277.3,20.3,1.76,0.022,0.024,4.9
Ⅳ类,22.0,7.23,8.32,205.4,66.8,4.02,0.131,0.227,3.51
Ⅱ类,22.4,7.58,7.98,246.5,31.0,2.5,0.027,0.054,8.16
Ⅱ类,18.5,8.03,12.77,259.5,21.9,2.32,0.041,0.045,4.37
Ⅱ类,18.6,7.71,7.78,346.9,28.5,2.54,0.117,0.078,4.92
Ⅱ类,19.4,7.75,9.2,209.9,28.0,2.21,0.02,0.045,4.13
