水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,23.6,7.91,9.48,505.0,21.3,2.97,0.098,0.027,4.03
Ⅱ类,26.4,7.96,7.21,444.2,13.2,3.28,0.081,0.037,3.27
Ⅱ类,27.9,7.52,7.66,744.1,12.0,3.95,0.079,0.073,5.44
劣Ⅵ类,27.8,7.39,3.77,637.5,6.7,6.82,2.443,0.266,7.3
Ⅱ类,24.5,7.76,8.64,795.1,15.7,3.95,0.287,0.078,7.8
Ⅱ类,23.1,7.76,7.97,792.7,21.1,2.94,0.086,0.08,8.17
Ⅱ类,22.3,7.89,9.28,478.0,5.8,3.45,0.06,0.012,3.84
Ⅳ类,29.3,7.64,4.56,811.2,12.9,2.95,0.071,0.069,3.46
Ⅲ类,29.3,7.89,8.0,1110.7,6.2,3.55,0.038,0.135,5.19
Ⅲ类,29.4,7.78,6.6,1224.9,17.1,3.88,0.055,0.126,5.83
Ⅳ类,24.0,7.09,4.41,483.2,21.2,3.93,0.237,0.12,7.26
Ⅱ类,28.5,8.14,9.65,391.9,5.6,2.49,0.048,0.006,3.66
Ⅲ类,25.0,8.08,8.17,409.5,75.7,4.38,0.398,0.06,5.19
Ⅱ类,28.1,8.2,14.22,531.5,4.2,3.17,0.24,0.044,2.98
Ⅴ类,29.7,7.67,2.26,895.3,19.7,3.7,0.748,0.127,1.11
Ⅴ类,29.4,7.64,3.75,1130.9,26.4,4.39,1.661,0.25,3.46
Ⅴ类,29.6,7.6,2.51,902.6,30.2,3.86,1.972,0.208,3.32
Ⅴ类,30.4,7.53,2.87,951.7,34.2,3.69,0.2,0.094,1.97
Ⅱ类,30.8,7.69,6.95,272.1,1.6,1.42,0.051,0.005,0.89
劣Ⅵ类,27.1,7.41,0.005,898.6,33.7,3.53,1.25,0.125,2.24
Ⅳ类,27.0,7.65,3.87,902.4,25.5,3.46,0.191,0.144,3.98
Ⅲ类,28.8,7.9,6.43,2282.2,14.1,4.83,0.384,0.174,2.6
劣Ⅵ类,18.9,7.88,1.61,2040.8,51.4,4.08,0.107,0.078,0.95
Ⅳ类,27.2,7.81,4.38,5704.8,629.9,7.04,0.197,0.192,2.87
Ⅴ类,27.8,7.66,2.53,1471.5,32.5,4.67,0.107,0.124,1.17
Ⅳ类,30.3,7.06,3.27,761.5,24.3,4.75,0.407,0.169,2.33
Ⅴ类,23.0,8.37,2.7,6615.9,127.5,7.6,0.366,0.257,1.59
Ⅲ类,29.2,8.84,10.77,411.1,75.5,4.75,0.088,0.034,2.88
Ⅳ类,26.9,8.28,9.82,371.7,12.6,6.03,0.115,0.056,3.52
Ⅲ类,24.2,7.68,7.61,731.3,21.4,2.75,0.186,0.153,11.04
Ⅱ类,24.2,7.64,6.83,527.0,43.8,1.71,0.088,0.087,8.26
Ⅲ类,22.2,7.86,6.5,1091.9,37.2,1.37,0.662,0.043,4.86
Ⅰ类,30.4,8.64,9.21,284.1,1.7,1.85,0.028,0.01,0.8
Ⅳ类,28.8,7.37,4.83,590.2,44.5,3.99,0.024,0.093,3.28
Ⅲ类,28.6,7.45,7.61,821.2,15.8,5.07,0.008,0.165,5.0
Ⅲ类,19.7,7.87,8.67,502.7,89.8,4.05,0.054,0.085,5.43
Ⅱ类,32.0,6.96,7.38,45136.0,3.4,1.94,0.065,0.037,1.14
Ⅲ类,30.9,7.56,5.86,917.6,13.0,4.27,0.547,0.071,2.5
Ⅳ类,29.7,7.99,5.93,1332.1,27.7,5.32,0.237,0.246,7.1
Ⅳ类,27.6,7.51,3.0,729.9,201.2,5.48,0.734,0.291,6.44
Ⅱ类,25.0,8.17,8.48,540.3,65.2,1.87,0.013,0.047,4.32
劣Ⅵ类,22.8,8.15,6.38,1016.9,1328.1,7.63,0.005,0.458,15.1
Ⅳ类,23.1,8.12,9.72,1008.0,1051.4,7.93,0.892,0.273,4.59
Ⅲ类,28.8,7.96,5.26,10992.0,86.8,5.42,0.709,0.11,2.81
劣Ⅵ类,28.9,8.36,1.96,3906.2,38.3,6.37,0.168,0.226,1.28
Ⅳ类,28.7,7.57,3.34,896.1,4.4,7.83,0.046,0.108,0.97
Ⅱ类,26.3,7.71,6.56,521.2,24.5,3.8,0.055,0.08,4.67
Ⅱ类,30.4,7.82,6.04,775.4,20.5,3.12,0.052,0.04,0.4
Ⅳ类,30.7,8.05,16.39,690.9,17.7,4.43,0.558,0.207,3.24
Ⅲ类,30.4,8.15,6.2,836.1,1.7,4.57,0.008,0.072,0.55
Ⅲ类,30.1,8.38,7.31,1593.3,36.7,4.97,0.06,0.028,0.62
Ⅲ类,31.3,7.91,5.68,343.1,3.8,2.29,0.067,0.012,0.75
Ⅳ类,29.5,7.52,4.44,681.9,6.1,4.62,0.014,0.028,0.7
Ⅱ类,24.6,8.37,7.6,1158.2,10.6,3.99,0.26,0.082,1.01
Ⅳ类,25.8,8.69,10.24,768.5,91.2,6.97,0.011,0.138,1.76
Ⅳ类,27.3,8.03,8.9,2019.5,9.0,4.05,1.134,0.214,11.31
Ⅱ类,26.2,8.25,8.45,652.3,45.9,2.64,0.009,0.05,3.34
Ⅲ类,27.4,7.7,5.24,483.4,25.5,3.65,0.02,0.05,1.81
Ⅳ类,23.8,7.66,3.33,665.5,7.7,3.27,0.248,0.03,1.08
Ⅳ类,26.3,7.59,4.81,670.3,48.5,4.12,0.052,0.103,4.15
Ⅱ类,24.5,8.15,7.1,551.7,70.4,3.17,0.005,0.037,3.15
Ⅱ类,19.8,8.27,8.61,685.7,49.6,2.49,0.04,0.035,4.89
Ⅲ类,25.4,8.44,11.46,705.4,18.1,4.03,0.113,0.093,2.32
Ⅲ类,24.4,8.48,8.86,552.6,31.6,4.92,0.014,0.051,1.34
Ⅳ类,27.5,8.61,13.21,1193.3,87.0,9.09,0.011,0.177,5.85
Ⅲ类,24.3,7.4,8.51,1366.9,24.1,3.8,0.174,0.191,7.85
Ⅳ类,29.8,8.11,4.36,3669.3,236.3,6.93,0.134,0.286,11.68
Ⅴ类,26.4,7.24,2.52,1148.8,55.3,5.15,0.354,0.296,5.3
Ⅳ类,22.6,8.37,7.74,733.9,764.0,6.07,0.011,0.232,4.17
Ⅳ类,28.1,8.44,6.16,799.9,606.1,5.19,0.018,0.219,6.59
Ⅳ类,28.0,7.71,3.65,987.0,322.0,4.75,0.318,0.069,6.94
Ⅲ类,20.0,7.99,6.27,557.5,156.2,3.63,0.021,0.177,4.08
Ⅴ类,24.4,8.26,7.03,605.6,1881.2,4.5,0.016,0.327,3.53
Ⅲ类,26.5,8.2,6.9,676.7,58.3,3.45,0.214,0.161,5.53
Ⅱ类,23.6,8.54,8.98,681.6,43.2,3.47,0.003,0.059,5.63
Ⅳ类,27.0,7.7,4.29,721.3,59.1,4.38,0.405,0.159,3.55
Ⅴ类,24.3,8.61,9.56,1082.4,66.0,12.31,0.402,0.315,8.48
Ⅱ类,24.8,8.34,7.97,1054.1,82.0,1.73,0.069,0.029,1.12
Ⅳ类,24.9,8.59,6.71,2873.3,46.3,6.64,0.076,0.06,1.16
Ⅰ类,18.8,8.44,10.17,728.5,6.9,1.59,0.015,0.005,8.27
Ⅴ类,24.1,7.15,3.8,826.7,7.2,10.09,1.342,0.149,9.04
Ⅱ类,25.9,7.47,6.37,277.5,4.4,2.37,0.017,0.072,5.87
Ⅲ类,29.3,8.18,11.24,347.9,26.4,3.9,0.024,0.167,1.86
Ⅲ类,27.9,8.11,9.06,546.7,11.3,4.11,0.005,0.093,4.67
Ⅲ类,28.0,8.06,9.19,632.4,3.8,4.81,0.007,0.087,4.9
Ⅰ类,27.6,8.78,11.12,145.3,5.0,1.72,0.005,0.018,1.67
劣Ⅵ类,29.7,9.19,29.64,541.6,24.5,8.94,0.041,0.196,4.44
Ⅱ类,24.1,8.44,9.68,289.7,8.1,1.73,0.025,0.025,4.96
Ⅳ类,22.2,7.15,8.07,205.8,65.6,3.82,0.155,0.212,3.46
Ⅱ类,21.3,7.54,8.29,244.9,25.6,2.5,0.026,0.052,7.98
Ⅱ类,17.1,7.9,12.75,265.4,18.3,2.26,0.044,0.046,4.58
Ⅱ类,18.3,7.74,7.85,358.3,30.5,2.44,0.072,0.079,4.58
Ⅱ类,18.7,7.74,8.98,215.2,25.3,2.19,0.02,0.047,4.21
Ⅰ类,22.0,8.1,11.32,206.8,2.7,1.13,0.002,0.009,7.01
Ⅲ类,20.4,7.18,5.73,160.1,7.8,0.97,0.008,0.024,2.75
Ⅱ类,22.4,7.53,11.56,154.4,11.1,1.23,0.064,0.042,4.17
