省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L)
北京市,海河流域,鼓楼外大街,07-21 11:00,Ⅱ类,23.6,7.91,9.48,505.0,21.3,2.97,0.098,0.027,4.03,--,--
北京市,海河流域,广北滨河路,07-21 11:00,Ⅱ类,26.4,7.96,7.21,444.2,13.2,3.28,0.081,0.037,3.27,--,--
北京市,海河流域,沙窝,07-21 11:00,Ⅱ类,27.9,7.52,7.66,744.1,12.0,3.95,0.079,0.073,5.44,--,--
北京市,海河流域,新八里桥,07-21 11:00,劣Ⅵ类,27.8,7.39,3.77,637.5,6.7,6.82,2.443,0.266,7.30,--,--
北京市,海河流域,大红门闸上,07-21 11:00,Ⅱ类,24.5,7.76,8.64,795.1,15.7,3.95,0.287,0.078,7.80,--,--
北京市,海河流域,南大荒桥,07-21 11:00,Ⅱ类,26.9,8.52,10.07,760.6,25.0,3.98,--,0.046,2.48,--,--
北京市,海河流域,清河闸,07-21 11:00,Ⅱ类,24.0,8.38,12.91,836.5,3.4,2.58,--,0.052,6.71,--,--
北京市,海河流域,花园路,07-21 11:00,Ⅱ类,23.1,7.76,7.97,792.7,21.1,2.94,0.086,0.080,8.17,--,--
北京市,海河流域,白石桥,07-21 11:00,Ⅱ类,22.3,7.89,9.28,478.0,5.8,3.45,0.060,0.012,3.84,--,--
北京市,海河流域,八间房漫水桥,07-21 11:00,Ⅳ类,29.3,7.64,4.56,811.2,12.9,2.95,0.071,0.069,3.46,--,--
北京市,海河流域,码头,07-21 11:00,Ⅱ类,27.8,7.31,7.23,946.5,23.8,2.66,--,0.049,5.12,--,--
北京市,海河流域,罗庄,07-21 11:00,Ⅲ类,29.3,7.89,8.00,1110.7,6.2,3.55,0.038,0.135,5.19,--,--
北京市,海河流域,小屯桥,07-21 11:00,Ⅲ类,29.4,7.78,6.60,1224.9,17.1,3.88,0.055,0.126,5.83,--,--
北京市,海河流域,东店,07-21 11:00,Ⅳ类,24.0,7.09,4.41,483.2,21.2,3.93,0.237,0.120,7.26,--,--
北京市,海河流域,密云水库,07-21 11:00,Ⅱ类,28.5,8.14,9.65,391.9,5.6,2.49,0.048,0.006,3.66,--,--
北京市,海河流域,大关桥,07-21 11:00,Ⅲ类,25.0,8.08,8.17,409.5,75.7,4.38,0.398,0.060,5.19,--,--
北京市,海河流域,辛庄桥,07-21 11:00,Ⅱ类,24.4,8.36,9.24,529.8,90.4,3.15,--,0.072,7.54,--,--
北京市,海河流域,谷家营,07-21 11:00,Ⅱ类,28.1,8.20,14.22,531.5,4.2,3.17,0.240,0.044,2.98,--,--
北京市,海河流域,后城,07-21 11:00,Ⅴ类,20.0,8.49,8.90,506.3,939.1,11.40,--,--,15.92,--,--
天津市,海河流域,三岔口,07-21 10:00,Ⅴ类,29.7,7.67,2.26,895.3,19.7,3.70,0.748,0.127,1.11,--,--
天津市,海河流域,北洋桥,07-21 11:00,Ⅴ类,29.4,7.64,3.75,1130.9,26.4,4.39,1.661,0.250,3.46,--,--
天津市,海河流域,井冈山桥,07-21 11:00,Ⅴ类,29.6,7.60,2.51,902.6,30.2,3.86,1.972,0.208,3.32,--,--
天津市,海河流域,大红桥,07-21 11:00,Ⅴ类,30.4,7.53,2.87,951.7,34.2,3.69,0.200,0.094,1.97,--,--
天津市,海河流域,曹庄子泵站,07-21 11:00,Ⅱ类,30.8,7.69,6.95,272.1,1.6,1.42,0.051,0.005,0.89,--,--
天津市,海河流域,生产圈闸,07-21 11:00,劣Ⅵ类,27.1,7.41,0.005,898.6,33.7,3.53,1.250,0.125,2.24,--,--
天津市,海河流域,尔王庄泵站,07-21 11:00,Ⅰ类,30.7,7.89,8.23,242.8,4.8,1.98,--,0.012,0.89,--,--
天津市,海河流域,塘汉公路桥,07-21 11:00,Ⅳ类,27.0,7.65,3.87,902.4,25.5,3.46,0.191,0.144,3.98,--,--
天津市,海河流域,海河大闸,07-21 11:00,Ⅲ类,28.8,7.90,6.43,2282.2,14.1,4.83,0.384,0.174,2.60,--,--
天津市,海河流域,北排水河防潮闸,07-21 11:00,劣Ⅵ类,18.9,7.88,1.61,2040.8,51.4,4.08,0.107,0.078,0.95,--,--
天津市,海河流域,沧浪渠出境,07-21 11:00,Ⅳ类,27.2,7.81,4.38,5704.8,629.9,7.04,0.197,0.192,2.87,--,--
天津市,海河流域,万家码头,07-21 10:00,Ⅴ类,27.8,7.66,2.53,1471.5,32.5,4.67,0.107,0.124,1.17,--,--
天津市,海河流域,蓟运河防潮闸,07-21 11:00,Ⅳ类,30.3,7.06,3.27,761.5,24.3,4.75,0.407,0.169,2.33,--,--
天津市,海河流域,青静黄防潮闸,07-21 11:00,Ⅴ类,23.0,8.37,2.70,6615.9,127.5,7.60,0.366,0.257,1.59,--,--
天津市,海河流域,阎辛庄,07-21 11:00,Ⅳ类,20.1,7.36,4.28,1129.5,51.8,--,0.014,0.086,2.58,--,--
天津市,海河流域,于桥水库库中心,07-21 11:00,Ⅲ类,29.2,8.84,10.77,411.1,75.5,4.75,0.088,0.034,2.88,0.019,19127620
天津市,海河流域,于桥水库出口,07-21 10:00,Ⅳ类,26.9,8.28,9.82,371.7,12.6,6.03,0.115,0.056,3.52,--,--
天津市,海河流域,黎河桥,07-21 11:00,Ⅲ类,24.2,7.68,7.61,731.3,21.4,2.75,0.186,0.153,11.04,--,--
天津市,海河流域,沙河桥,07-21 11:00,Ⅱ类,24.2,7.64,6.83,527.0,43.8,1.71,0.088,0.087,8.26,--,--
天津市,海河流域,果河桥,07-21 10:00,Ⅲ类,25.1,7.75,7.30,529.0,19.6,--,0.095,0.122,8.41,--,--
河北省,海河流域,地都,07-21 11:00,Ⅲ类,22.2,7.86,6.50,1091.9,37.2,1.37,0.662,0.043,4.86,--,--
河北省,海河流域,平山桥,07-21 11:00,Ⅱ类,25.8,7.95,8.98,1264.9,24.2,1.55,0.131,0.040,--,--,--
河北省,海河流域,兆通,07-21 11:00,Ⅰ类,30.4,8.64,9.21,284.1,1.7,1.85,0.028,0.010,0.80,--,--
