省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L)
北京市,海河流域,鼓楼外大街,07-21 19:00,Ⅱ类,24.8,8.14,10.93,490.7,22.1,3.10,0.062,0.027,3.93,--,--
北京市,海河流域,广北滨河路,07-21 19:00,Ⅱ类,26.9,7.93,7.12,437.3,16.7,3.11,0.050,0.034,3.04,--,--
北京市,海河流域,沙窝,07-21 19:00,Ⅲ类,28.0,7.50,10.57,782.3,8.4,4.19,0.068,0.075,4.98,--,--
北京市,海河流域,新八里桥,07-21 19:00,劣Ⅵ类,29.2,7.46,3.21,738.6,3.1,8.59,4.311,0.458,9.61,--,--
北京市,海河流域,大红门闸上,07-21 19:00,Ⅱ类,26.1,8.00,10.38,796.5,14.4,3.02,0.010,0.070,6.16,--,--
北京市,海河流域,南大荒桥,07-21 19:00,Ⅲ类,28.0,8.70,10.79,758.3,25.2,4.45,--,0.047,2.40,--,--
北京市,海河流域,清河闸,07-21 19:00,Ⅱ类,25.3,8.39,10.15,824.6,3.9,2.21,--,0.051,6.06,--,--
北京市,海河流域,花园路,07-21 19:00,Ⅲ类,24.3,8.28,13.42,766.3,22.0,2.84,0.040,0.102,6.84,--,--
北京市,海河流域,白石桥,07-21 19:00,Ⅱ类,23.2,7.97,10.11,468.9,2.5,3.63,0.058,0.018,3.88,--,--
北京市,海河流域,八间房漫水桥,07-21 19:00,Ⅲ类,30.5,7.87,8.83,801.9,16.0,5.33,0.034,0.070,3.23,--,--
北京市,海河流域,码头,07-21 19:00,Ⅱ类,28.5,7.38,8.40,947.1,20.7,2.62,--,0.051,5.54,--,--
北京市,海河流域,罗庄,07-21 19:00,Ⅲ类,30.7,8.01,9.89,1097.5,7.1,3.53,0.016,0.135,5.38,--,--
北京市,海河流域,小屯桥,07-21 19:00,Ⅲ类,32.1,8.12,11.71,1229.2,17.2,4.11,0.010,0.132,5.92,--,--
北京市,海河流域,东店,07-21 19:00,Ⅲ类,25.6,7.21,5.35,554.2,24.9,3.40,0.084,0.115,7.94,--,--
北京市,海河流域,密云水库,07-21 19:00,Ⅱ类,28.6,8.00,9.02,392.8,4.0,2.21,0.068,0.009,3.49,--,--
北京市,海河流域,大关桥,07-21 19:00,Ⅲ类,27.7,8.32,10.64,417.5,60.0,4.04,0.219,0.045,4.66,--,--
北京市,海河流域,辛庄桥,07-21 19:00,Ⅱ类,27.0,8.39,8.25,522.5,68.7,3.10,--,0.071,7.51,--,--
北京市,海河流域,谷家营,07-21 19:00,Ⅱ类,28.7,8.24,16.22,528.8,7.4,3.34,0.169,0.044,2.87,--,--
北京市,海河流域,后城,07-21 19:00,劣Ⅵ类,21.2,8.32,8.31,435.4,1889.3,20.19,--,--,29.59,--,--
天津市,海河流域,三岔口,07-21 18:00,Ⅴ类,30.3,7.71,2.68,1049.6,19.7,3.81,0.532,0.104,0.91,--,--
天津市,海河流域,北洋桥,07-21 19:00,Ⅲ类,30.3,7.71,5.67,1204.5,24.4,5.02,0.340,0.181,2.42,--,--
天津市,海河流域,井冈山桥,07-21 19:00,Ⅴ类,30.3,7.60,2.83,897.9,42.4,3.66,0.862,0.149,2.31,--,--
天津市,海河流域,大红桥,07-21 19:00,劣Ⅵ类,30.2,7.36,0.77,1050.3,16.0,4.07,0.709,0.087,2.46,--,--
天津市,海河流域,曹庄子泵站,07-21 19:00,Ⅱ类,31.3,7.71,7.12,269.6,1.3,1.49,0.050,0.006,0.86,--,--
天津市,海河流域,生产圈闸,07-21 19:00,劣Ⅵ类,26.8,7.42,0.003,868.7,33.7,4.11,1.587,0.172,2.50,--,--
天津市,海河流域,尔王庄泵站,07-21 19:00,Ⅱ类,30.2,7.63,6.15,243.0,5.0,1.88,--,--,0.87,--,--
天津市,海河流域,塘汉公路桥,07-21 19:00,Ⅳ类,26.7,7.62,4.14,603.8,51.4,3.86,0.167,0.186,5.48,--,--
天津市,海河流域,海河大闸,07-21 19:00,Ⅲ类,29.3,8.15,8.84,1915.7,16.7,5.44,0.275,0.189,2.69,--,--
天津市,海河流域,北排水河防潮闸,07-21 19:00,Ⅲ类,18.8,8.42,5.95,2041.8,42.5,4.76,0.014,0.068,0.83,--,--
天津市,海河流域,沧浪渠出境,07-21 19:00,Ⅳ类,28.9,7.83,4.45,4826.3,1318.2,8.69,0.113,0.266,2.05,--,--
天津市,海河流域,万家码头,07-21 19:00,Ⅲ类,28.7,8.47,8.94,1669.2,47.6,5.52,0.023,0.127,1.18,--,--
天津市,海河流域,蓟运河防潮闸,07-21 19:00,Ⅴ类,30.2,7.00,2.55,734.5,33.6,5.84,0.501,0.211,2.35,--,--
天津市,海河流域,青静黄防潮闸,07-21 19:00,Ⅳ类,23.6,8.54,10.21,6563.2,136.9,8.32,0.076,0.250,1.35,--,--
天津市,海河流域,阎辛庄,07-21 19:00,Ⅴ类,20.2,7.30,2.58,1156.6,87.5,--,0.021,0.095,2.63,--,--
天津市,海河流域,于桥水库库中心,07-21 19:00,Ⅲ类,30.3,--,14.24,405.0,314.6,5.76,0.003,0.041,2.97,0.045,--
天津市,海河流域,于桥水库出口,07-21 19:00,Ⅲ类,26.3,8.15,9.00,367.4,13.9,5.84,0.101,0.052,3.66,--,--
天津市,海河流域,黎河桥,07-21 19:00,Ⅲ类,24.3,7.79,8.92,738.5,16.1,2.70,0.159,0.149,10.94,--,--
天津市,海河流域,沙河桥,07-21 19:00,Ⅱ类,24.6,7.63,6.79,520.6,40.0,1.01,0.114,0.087,8.21,--,--
天津市,海河流域,果河桥,07-21 17:00,Ⅲ类,30.0,8.82,12.21,526.2,11.3,--,0.029,0.115,8.54,--,--
河北省,海河流域,地都,07-21 19:00,Ⅱ类,22.6,7.90,6.50,1150.8,48.8,1.55,0.423,0.036,4.99,--,--
河北省,海河流域,平山桥,07-21 19:00,Ⅱ类,27.2,8.02,10.19,1165.4,27.2,1.30,0.090,0.028,--,--,--
河北省,海河流域,兆通,07-21 19:00,Ⅰ类,31.0,8.70,8.54,286.5,1.9,1.84,0.023,0.008,0.86,--,--
河北省,海河流域,涧河口,07-21 19:00,Ⅲ类,30.2,7.97,7.98,582.6,59.6,5.48,0.024,0.118,3.49,--,--
河北省,海河流域,丰北闸,07-21 19:00,Ⅳ类,29.4,7.87,8.68,552.5,30.6,5.94,0.161,0.274,5.09,--,--
河北省,海河流域,滦县大桥,07-21 19:00,Ⅱ类,20.3,7.87,8.88,506.9,74.7,3.62,0.034,0.084,5.43,--,--
河北省,海河流域,新开河口,07-21 19:00,Ⅲ类,32.3,6.97,5.51,44987.7,2.7,2.21,0.169,0.042,1.39,--,--
河北省,海河流域,曲周,07-21 19:00,Ⅲ类,31.6,8.30,11.82,909.2,20.9,5.48,0.180,0.077,3.07,--,--
河北省,海河流域,艾辛庄,07-21 19:00,劣Ⅵ类,28.5,7.33,1.97,735.5,139.6,11.09,3.425,0.433,14.38,--,--
河北省,海河流域,后西吴桥,07-21 19:00,劣Ⅵ类,29.7,7.51,2.85,690.4,78.0,7.34,3.061,0.396,10.20,--,--
河北省,海河流域,北河店,07-21 19:00,Ⅱ类,27.8,7.92,6.38,485.9,13.2,1.78,--,0.024,3.33,--,--
河北省,海河流域,白合,07-21 19:00,Ⅱ类,26.6,8.29,7.94,519.6,128.2,1.59,--,0.047,4.32,--,--
河北省,海河流域,杜里村,07-21 19:00,Ⅲ类,23.9,8.49,7.66,389.9,--,4.97,--,--,--,--,--
河北省,海河流域,温泉屯,07-21 19:00,劣Ⅵ类,24.2,8.26,6.10,1105.5,--,7.12,--,0.419,12.88,--,--
河北省,海河流域,八号桥,07-21 19:00,Ⅴ类,26.7,7.97,7.79,907.8,4337.5,6.13,0.949,0.316,4.44,--,--
河北省,海河流域,四道甸,07-21 19:00,Ⅳ类,25.2,8.14,7.97,322.8,1771.6,8.64,--,0.024,34.24,--,--
河北省,海河流域,何老营,07-21 19:00,Ⅳ类,27.8,8.37,6.36,3066.4,23.2,7.75,--,0.211,0.97,--,--
河北省,海河流域,大口河口,07-21 19:00,Ⅳ类,28.8,8.13,7.07,13020.3,91.0,6.96,0.936,0.124,2.51,--,--
河北省,海河流域,四埝村桥,07-21 19:00,Ⅳ类,30.0,8.84,5.72,3990.9,29.7,7.67,0.025,0.225,1.29,--,--
河北省,海河流域,大王务,07-21 19:00,Ⅳ类,29.7,7.98,10.76,882.5,3.1,7.89,0.004,0.081,0.85,--,--
河北省,海河流域,吴村,07-21 19:00,Ⅱ类,27.3,7.75,7.49,519.8,17.2,3.74,0.055,0.070,4.49,--,--
河北省,海河流域,台头,07-21 19:00,Ⅱ类,30.6,7.81,6.06,912.6,22.4,3.90,0.050,0.055,0.50,--,--
河北省,海河流域,三小营,07-21 19:00,Ⅳ类,31.5,7.96,10.37,688.0,18.6,4.82,0.417,0.206,3.22,--,--
河北省,海河流域,小范桥,07-21 19:00,Ⅲ类,31.4,8.65,9.86,835.2,2.7,5.08,0.013,0.077,0.62,--,--
河北省,海河流域,衡水湖大湖心,07-21 19:00,Ⅲ类,30.9,8.46,9.19,1593.6,32.5,4.51,0.030,0.028,0.67,0.024,14219210
河北省,海河流域,南张村,07-21 19:00,Ⅱ类,32.0,8.13,6.74,319.8,4.4,2.26,0.066,0.012,0.74,--,--
河北省,海河流域,安州,07-21 19:00,Ⅴ类,30.4,7.39,2.85,1021.1,41.1,4.74,--,0.115,4.88,--,--
河北省,海河流域,南刘庄,07-21 03:00,Ⅳ类,29.5,7.52,4.44,681.9,6.1,4.62,0.014,0.028,0.70,0.014,1661962
河北省,海河流域,烧车淀,07-21 19:00,Ⅱ类,30.1,8.10,10.74,529.0,6.9,2.34,--,--,2.83,0.002,3400794
河北省,海河流域,圈头,07-21 19:00,Ⅰ类,30.8,8.22,8.02,665.4,1.6,--,--,--,0.91,0.003,4792437
河北省,海河流域,采蒲台,07-21 19:00,Ⅰ类,29.9,7.97,9.20,693.0,0.2,--,--,--,--,0.002,493700
河北省,海河流域,光淀张庄,07-21 19:00,Ⅱ类,30.9,8.05,8.57,552.3,5.2,--,--,0.021,--,0.003,3352225
山西省,黄河流域,韩武村,07-21 19:00,劣Ⅵ类,28.5,8.66,15.00,1118.6,25.3,--,2.919,0.307,8.62,--,--
山西省,黄河流域,上兰,07-21 19:00,Ⅰ类,21.6,8.43,8.19,614.5,3.2,1.45,0.131,--,1.93,--,--
山西省,黄河流域,汾河水库出口,07-21 19:00,Ⅰ类,25.8,8.40,10.48,732.3,4.3,--,0.012,0.001,--,0.011,300821
山西省,海河流域,堡子湾,07-21 19:00,Ⅳ类,21.1,8.27,6.90,769.5,--,9.53,0.005,0.149,5.33,--,--
山西省,海河流域,册田水库出口,07-21 19:00,Ⅲ类,23.9,8.30,7.17,1154.9,15.2,4.17,0.228,0.083,0.98,--,--
山西省,海河流域,古家坡,07-21 19:00,Ⅳ类,26.2,8.73,9.23,752.7,89.5,7.06,0.029,0.139,1.63,--,--
山西省,海河流域,闫家庄大桥,07-21 19:00,Ⅱ类,26.4,8.58,7.67,559.3,92.4,--,--,0.078,3.64,--,--
山西省,海河流域,白羊墅,07-21 19:00,劣Ⅵ类,25.5,7.78,4.78,1058.3,1080.1,14.32,9.341,0.984,13.90,--,--
山西省,海河流域,王家庄,07-21 19:00,Ⅱ类,27.2,8.29,8.00,654.6,40.6,2.44,0.0004,0.047,3.19,--,--
山西省,海河流域,司徒桥,07-21 19:00,Ⅱ类,27.4,7.90,6.62,480.9,23.4,3.41,0.013,0.053,1.78,--,--
山西省,海河流域,关河水库出口,07-21 19:00,Ⅴ类,23.2,7.62,2.70,671.7,7.1,3.41,0.234,0.029,1.13,--,--
山西省,海河流域,北寨,07-21 19:00,Ⅳ类,26.2,7.75,4.90,686.5,112.8,4.72,0.009,0.093,4.02,--,--
