水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.0,7.69,6.3,529.9,14.6,2.98,0.074,0.027,4.65
Ⅲ类,28.0,7.33,5.77,810.7,6.0,4.57,0.606,0.086,4.83
Ⅳ类,26.8,7.3,3.16,739.2,2.7,4.64,0.181,0.127,6.98
Ⅱ类,22.8,7.95,8.99,840.5,3.3,2.51,0.002,0.06,6.69
Ⅲ类,22.8,7.61,5.6,793.7,22.6,2.84,0.068,0.082,7.76
Ⅱ类,23.0,8.11,11.19,459.9,5.8,3.41,0.052,0.014,3.74
Ⅳ类,29.1,7.54,4.16,812.5,13.6,3.03,0.044,0.057,3.09
Ⅴ类,28.8,7.55,2.68,1115.1,7.7,3.54,0.071,0.12,5.6
Ⅳ类,28.8,7.61,3.25,1201.4,14.9,4.07,0.093,0.142,5.7
Ⅳ类,23.8,7.18,4.74,599.3,20.7,2.9,0.072,0.1,9.35
Ⅱ类,27.6,8.13,8.99,388.0,4.3,2.9,0.072,0.011,3.52
Ⅲ类,26.0,8.05,7.15,428.8,80.0,4.55,0.337,0.059,4.94
Ⅱ类,27.7,8.04,10.52,530.6,6.0,3.14,0.219,0.048,2.86
Ⅴ类,29.5,7.68,2.27,1134.4,16.7,3.83,0.573,0.095,1.5
Ⅳ类,28.4,7.56,3.67,993.2,24.2,4.66,0.497,0.186,2.73
劣Ⅵ类,29.0,7.52,1.5,1042.9,37.0,6.21,3.458,0.411,5.43
劣Ⅵ类,29.0,7.38,0.94,1078.7,31.1,4.27,0.524,0.08,2.65
Ⅱ类,30.3,7.66,6.84,270.6,2.4,1.47,0.074,0.004,0.89
劣Ⅵ类,27.9,7.46,0.002,910.5,31.3,4.06,1.585,0.167,2.51
Ⅱ类,30.5,8.33,9.22,252.3,6.9,2.03,0.041,0.015,0.79
Ⅳ类,26.3,7.52,3.69,836.4,30.6,3.88,0.348,0.17,5.03
Ⅳ类,28.4,7.68,3.98,1696.3,18.8,5.5,0.512,0.224,3.1
Ⅴ类,18.9,8.12,2.32,2065.5,41.7,4.2,0.036,0.066,0.88
Ⅴ类,28.0,7.55,2.1,1509.2,24.5,4.63,0.082,0.118,1.1
Ⅳ类,29.9,7.01,3.0,679.8,35.7,5.09,0.411,0.185,2.19
Ⅳ类,22.3,8.23,8.16,6521.2,79.6,8.4,0.019,0.209,1.23
劣Ⅵ类,20.1,7.31,1.93,1098.7,70.0,2.79,0.024,0.093,2.56
Ⅲ类,28.0,8.72,9.59,404.6,38.7,4.85,0.058,0.032,2.82
Ⅲ类,26.2,8.14,8.53,369.3,12.6,4.9,0.169,0.054,3.82
Ⅲ类,24.3,7.65,7.9,716.9,16.2,2.87,0.252,0.159,10.66
Ⅲ类,27.8,8.44,10.58,515.8,9.6,3.5,0.03,0.105,8.22
Ⅱ类,27.3,8.22,8.03,619.8,126.6,2.3,0.011,0.083,2.56
Ⅲ类,23.8,7.94,6.12,1333.3,48.8,3.24,0.647,0.07,6.66
Ⅰ类,30.5,8.64,9.24,289.3,2.2,1.9,0.029,0.008,0.84
Ⅴ类,27.2,7.32,4.66,912.1,39.6,6.98,1.981,0.247,7.48
Ⅲ类,29.6,7.73,6.24,577.1,44.8,4.52,0.023,0.098,3.24
Ⅱ类,20.6,7.86,8.35,503.1,68.2,3.43,0.043,0.071,5.41
Ⅲ类,31.7,6.95,5.82,45295.7,2.1,2.04,0.059,0.033,1.16
Ⅲ类,30.8,7.89,7.33,849.4,26.3,4.28,0.173,0.072,3.04
劣Ⅵ类,29.4,7.56,4.91,797.1,21.1,5.38,3.261,0.265,9.79
Ⅴ类,28.6,7.5,2.74,686.9,65.9,5.22,1.301,0.227,7.89
Ⅱ类,27.6,7.97,6.99,477.1,15.9,1.86,0.009,0.024,3.31
劣Ⅵ类,21.9,8.33,6.26,1185.3,1184.9,9.5,0.018,0.459,14.87
Ⅳ类,28.9,7.95,5.0,7017.8,56.3,6.18,1.04,0.128,3.37
Ⅳ类,29.1,8.65,5.35,4169.2,31.5,6.73,0.015,0.221,1.3
