省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L)
北京市,海河流域,鼓楼外大街,07-22 03:00,Ⅲ类,24.0,7.77,5.62,500.1,12.7,3.04,0.067,0.030,3.71,--,--
北京市,海河流域,广北滨河路,07-22 03:00,Ⅱ类,25.7,8.02,7.12,443.2,23.2,3.43,0.025,0.036,3.30,--,--
北京市,海河流域,沙窝,07-22 03:00,Ⅲ类,27.9,7.35,8.73,815.7,7.1,4.52,0.066,0.069,5.31,--,--
北京市,海河流域,新八里桥,07-22 03:00,Ⅴ类,27.2,7.24,2.12,733.2,3.5,4.75,0.429,0.172,6.78,--,--
北京市,海河流域,大红门闸上,07-22 03:00,Ⅳ类,24.5,7.58,4.91,786.9,10.3,2.80,0.022,0.064,6.61,--,--
北京市,海河流域,南大荒桥,07-22 03:00,Ⅲ类,27.1,8.49,7.42,758.3,25.8,4.15,--,0.047,2.42,--,--
北京市,海河流域,清河闸,07-22 03:00,Ⅲ类,22.5,7.69,5.96,842.3,5.1,2.15,--,0.049,6.56,--,--
北京市,海河流域,花园路,07-22 03:00,Ⅲ类,22.6,7.61,5.33,816.1,23.4,2.57,0.064,0.087,6.79,--,--
北京市,海河流域,白石桥,07-22 03:00,Ⅱ类,22.8,7.86,8.61,469.6,4.3,3.48,0.053,0.015,3.95,--,--
北京市,海河流域,八间房漫水桥,07-22 03:00,Ⅲ类,29.5,7.59,5.68,795.2,12.8,3.23,0.036,0.058,2.97,--,--
北京市,海河流域,罗庄,07-22 03:00,Ⅳ类,29.7,7.59,3.04,1118.8,4.4,3.21,0.004,0.125,5.73,--,--
北京市,海河流域,小屯桥,07-22 03:00,Ⅲ类,30.6,7.76,5.02,1217.5,17.3,4.14,0.045,0.140,5.99,--,--
北京市,海河流域,东店,07-22 03:00,Ⅳ类,24.6,7.16,4.64,591.5,23.4,3.04,0.062,0.109,9.37,--,--
北京市,海河流域,密云水库,07-22 03:00,Ⅱ类,27.9,8.17,9.40,389.2,2.9,2.11,0.049,0.007,3.59,--,--
北京市,海河流域,大关桥,07-22 03:00,Ⅲ类,27.5,8.29,9.88,417.0,41.1,4.08,0.205,0.048,4.54,--,--
北京市,海河流域,辛庄桥,07-22 03:00,Ⅱ类,24.4,8.20,7.94,544.7,84.4,3.25,--,0.064,7.82,--,--
北京市,海河流域,谷家营,07-22 03:00,Ⅱ类,28.0,8.11,11.74,530.9,5.5,3.05,0.200,0.041,2.91,--,--
北京市,海河流域,后城,07-22 03:00,劣Ⅵ类,20.3,8.43,8.59,485.1,3718.2,20.19,--,--,38.77,--,--
天津市,海河流域,三岔口,07-22 02:00,Ⅴ类,30.0,7.66,2.25,1094.2,17.4,3.88,0.699,0.101,1.23,--,--
天津市,海河流域,北洋桥,07-22 03:00,Ⅳ类,29.7,7.66,4.91,1248.3,21.3,5.27,0.720,0.193,2.93,--,--
天津市,海河流域,井冈山桥,07-22 03:00,Ⅴ类,29.7,7.56,2.50,1026.5,43.8,4.50,0.810,0.133,2.20,--,--
天津市,海河流域,大红桥,07-22 03:00,劣Ⅵ类,29.6,7.28,0.08,1079.1,7.2,3.86,0.600,0.079,2.30,--,--
天津市,海河流域,曹庄子泵站,07-22 03:00,Ⅱ类,30.7,7.68,6.44,271.2,2.5,1.55,0.051,0.006,0.86,--,--
天津市,海河流域,生产圈闸,07-22 03:00,劣Ⅵ类,28.0,7.46,0.004,920.6,31.1,3.67,1.079,0.129,2.28,--,--
天津市,海河流域,尔王庄泵站,07-22 03:00,Ⅱ类,30.7,8.16,8.28,257.9,6.0,2.06,--,0.012,0.74,--,--
天津市,海河流域,塘汉公路桥,07-22 03:00,Ⅳ类,26.2,7.59,3.95,606.1,71.9,3.28,0.001,0.139,4.85,--,--
天津市,海河流域,海河大闸,07-22 03:00,Ⅳ类,28.6,7.64,3.92,1740.1,13.0,5.16,0.415,0.197,2.82,--,--
天津市,海河流域,北排水河防潮闸,07-22 03:00,Ⅳ类,18.9,8.42,4.26,2041.7,36.9,4.51,0.009,0.063,0.74,--,--
天津市,海河流域,沧浪渠出境,07-22 03:00,Ⅳ类,28.2,7.76,4.03,4297.2,1029.6,6.58,0.029,0.187,2.51,--,--
天津市,海河流域,万家码头,07-22 03:00,Ⅲ类,28.7,8.08,5.44,1442.8,28.8,4.72,0.133,0.119,1.15,--,--
天津市,海河流域,蓟运河防潮闸,07-22 03:00,Ⅴ类,30.0,6.99,2.52,767.2,109.2,4.86,0.552,0.187,2.26,--,--
天津市,海河流域,青静黄防潮闸,07-22 03:00,Ⅳ类,22.5,8.32,9.54,6520.2,238.0,8.55,0.024,0.194,1.25,--,--
天津市,海河流域,阎辛庄,07-22 03:00,劣Ⅵ类,20.1,7.30,1.98,1156.7,61.3,2.85,0.029,0.089,2.89,--,--
天津市,海河流域,于桥水库库中心,07-22 03:00,Ⅲ类,29.6,8.98,13.35,403.6,27.3,5.55,0.001,0.040,3.06,0.038,--
天津市,海河流域,于桥水库出口,07-22 03:00,Ⅲ类,25.8,7.98,8.21,363.0,14.6,4.75,0.174,0.052,3.85,--,--
天津市,海河流域,黎河桥,07-22 03:00,Ⅲ类,24.2,7.68,7.87,725.1,16.1,3.05,0.199,0.150,10.61,--,--
天津市,海河流域,沙河桥,07-22 03:00,Ⅱ类,24.3,7.59,6.46,516.3,30.8,1.39,0.214,0.086,8.22,--,--
天津市,海河流域,果河桥,07-22 02:00,Ⅱ类,28.1,8.50,11.48,516.5,10.9,2.91,0.016,0.093,7.96,--,--
河北省,海河流域,下槐镇,07-22 03:00,Ⅱ类,25.9,8.22,7.49,613.9,127.4,2.71,0.018,0.090,2.52,--,--
河北省,海河流域,地都,07-22 03:00,Ⅲ类,22.2,7.88,6.32,1159.3,52.7,1.47,0.502,0.037,4.91,--,--
河北省,海河流域,平山桥,07-22 03:00,Ⅲ类,26.0,7.78,5.92,1175.2,33.9,2.12,0.599,0.102,5.86,--,--
河北省,海河流域,兆通,07-22 03:00,Ⅰ类,29.7,8.55,7.84,294.6,1.2,1.93,0.030,0.007,0.89,--,--
河北省,海河流域,大石桥,07-22 03:00,劣Ⅵ类,27.2,6.78,2.66,766.0,77.9,8.24,2.284,0.344,6.71,--,--
河北省,海河流域,涧河口,07-22 03:00,Ⅲ类,30.1,7.79,7.04,582.1,41.6,4.88,0.021,0.099,3.34,--,--
河北省,海河流域,丰北闸,07-22 03:00,Ⅲ类,29.0,7.90,7.95,558.0,18.0,5.11,--,0.149,4.90,--,--
河北省,海河流域,滦县大桥,07-22 03:00,Ⅱ类,20.7,7.88,8.62,505.8,53.8,3.38,0.038,0.075,5.35,--,--
河北省,海河流域,新开河口,07-22 03:00,Ⅳ类,31.4,6.99,4.92,45166.3,1.6,2.17,0.232,0.036,1.16,--,--
河北省,海河流域,曲周,07-22 03:00,Ⅲ类,30.9,7.81,7.93,855.1,21.8,4.44,0.195,0.062,3.05,--,--
河北省,海河流域,艾辛庄,07-22 03:00,劣Ⅵ类,27.2,7.27,1.63,724.6,44.9,4.97,4.617,0.395,12.40,--,--
河北省,海河流域,后西吴桥,07-22 03:00,劣Ⅵ类,29.1,7.50,2.42,649.7,73.2,6.00,2.563,0.299,8.72,--,--
河北省,海河流域,北河店,07-22 03:00,Ⅲ类,27.7,7.83,5.10,484.4,10.1,1.50,--,0.018,4.00,--,--
河北省,海河流域,白合,07-22 03:00,Ⅱ类,25.1,8.20,7.60,511.6,121.0,2.40,--,0.075,3.53,--,--
河北省,海河流域,杜里村,07-22 03:00,劣Ⅵ类,20.2,8.24,8.28,276.3,15.0,10.00,--,0.731,4.48,--,--
河北省,海河流域,温泉屯,07-22 03:00,劣Ⅵ类,22.3,8.33,6.20,1176.0,1604.4,8.50,0.015,0.498,16.37,--,--
河北省,海河流域,八号桥,07-22 03:00,Ⅳ类,25.1,8.14,8.87,1017.0,2010.2,5.77,0.837,0.255,3.97,--,--
河北省,海河流域,四道甸,07-22 03:00,劣Ⅵ类,23.7,8.30,8.37,369.7,2284.3,8.64,--,1.277,30.77,--,--
河北省,海河流域,何老营,07-22 03:00,Ⅳ类,27.9,8.18,4.70,3086.1,22.1,6.75,--,0.200,0.97,--,--
河北省,海河流域,大口河口,07-22 03:00,Ⅲ类,28.3,8.01,5.56,14804.6,157.5,5.58,0.806,0.137,3.52,--,--
河北省,海河流域,四埝村桥,07-22 03:00,Ⅳ类,29.3,8.66,5.16,4121.9,26.9,6.99,0.037,0.215,1.27,--,--
河北省,海河流域,大王务,07-22 03:00,Ⅳ类,29.0,7.75,4.63,866.3,6.3,7.42,0.031,0.062,0.79,--,--
河北省,海河流域,吴村,07-22 03:00,Ⅲ类,27.2,7.67,5.96,511.7,15.4,3.60,0.090,0.069,4.47,--,--
河北省,海河流域,台头,07-22 03:00,Ⅲ类,30.0,7.75,5.30,752.0,17.2,3.21,0.038,0.044,0.41,--,--
河北省,海河流域,三小营,07-22 03:00,劣Ⅵ类,30.0,7.13,0.54,738.3,9.1,4.43,0.338,0.153,3.39,--,--
河北省,海河流域,小范桥,07-22 03:00,Ⅲ类,30.8,8.49,8.00,835.9,1.9,4.53,0.009,0.065,0.54,--,--
河北省,海河流域,衡水湖大湖心,07-22 03:00,Ⅲ类,30.6,8.35,7.00,1594.3,31.4,4.84,0.036,0.028,0.65,0.024,15424360
河北省,海河流域,南张村,07-22 03:00,Ⅲ类,31.6,8.00,5.70,330.0,3.5,2.30,0.073,0.012,0.78,--,--
河北省,海河流域,安州,07-22 03:00,Ⅴ类,30.4,7.32,2.14,967.8,30.3,4.21,0.199,0.070,4.59,--,--
河北省,海河流域,南刘庄,07-22 02:00,Ⅲ类,30.2,7.56,5.13,675.5,5.7,4.62,0.014,0.030,0.70,0.012,1536827
河北省,海河流域,烧车淀,07-22 03:00,Ⅱ类,29.9,7.92,10.12,533.8,4.5,2.06,--,0.023,2.65,0.002,2219550
河北省,海河流域,圈头,07-22 03:00,Ⅱ类,30.2,8.09,7.44,657.2,0.9,2.99,--,0.018,1.00,0.002,3914768
河北省,海河流域,采蒲台,07-22 03:00,Ⅰ类,29.4,7.76,7.94,697.0,0.3,--,--,--,--,0.002,470564
河北省,海河流域,光淀张庄,07-22 03:00,Ⅳ类,30.2,7.63,4.92,561.9,6.2,--,--,0.020,2.12,0.003,3218429
